"Nº Centros de Custo";"Centros de Custo";"Centros de Custo Pai";"Perfil Desembolso Pecuário";"Áreas de Negócio";"Situação"
"2.3.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.3.4";"Defensivos";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.3.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.3.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.7";"Parceria Agrícola";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.8";"Planta de Cobertura";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.9";"Secagem e Armazenamento";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.10";"Seguro Agrícola";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.11";"Sementes/Mudas e Tratamento";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.13";"Outras Despesas com Feijão";"Feijão";;"AGRICULTURA";"Ativo"
"2.4";"Mandioca";"Agricultura e Silvicultura";;"";"Ativo"
"2.4.1";"Arrendamento";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.2";"Colheita e Transporte";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.3";"Corretivos e Fertilizantes";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.4.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.4.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.4.4";"Defensivos";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.4.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.4.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.7";"Parceria Agrícola";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.8";"Planta de Cobertura";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.9";"Secagem e Armazenamento";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.10";"Seguro Agrícola";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.11";"Sementes/Mudas e Tratamento";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.13";"Outras Despesas com Mandioca";"Mandioca";;"AGRICULTURA";"Ativo"
"2.5";"Milho Safrinha";"Agricultura e Silvicultura";;"";"Ativo"
"2.5.1";"Arrendamento";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.2";"Colheita e Transporte";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.3";"Corretivos e Fertilizantes";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.5.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.5.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.5.4";"Defensivos";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
